_id,latitudeWGS84,longitudeWGS84
734,43.24138324506075,-2.916987917980041
735,43.24018318841162,-2.918113789375645
736,43.18839252086627,-2.898545973576768
737,inf,inf
738,43.20530916527199,-2.891268816607202
739,43.20215930757946,-2.891336287126687
740,inf,inf
741,43.23188771369357,-2.911609452138766
742,43.20547432019963,-2.890211233995827
743,43.18678708627073,-2.900084255390893
744,43.21959163374813,-2.911715091294322
745,inf,inf
746,43.20813054818615,-2.892088363574375
1337,inf,inf
747,42.20663108228501,-1.864677167168161
748,43.21052312557661,-2.88888467507658
749,43.20582247204445,-2.889119441332071
750,43.21143362087262,-2.890206369664933
751,43.21370564651844,-2.893444530806927
752,43.24266982199678,-2.920282912956821
753,43.21004918758225,-2.887466336011196
754,43.21096708648162,-2.890368099904556
755,43.2133387018262,-2.913318070718705
756,43.21272710847059,-2.89171765924483
757,43.2588759110656,-2.971994853645194
758,43.2588759110656,-2.971994853645194
759,43.21911709493187,-2.911368506174242
760,43.21461543633032,-2.890831556932454
761,43.21898853930264,-2.911631187420289
762,43.24320832545271,-2.916538696287104
763,43.20334866068368,-2.889571576969216
764,43.21412732060303,-2.890281218779531
765,43.2192140392337,-2.905549377140226
766,43.20553760082223,-2.886960661222698
767,43.21244670885105,-2.89192654297109
768,43.21387847699599,-2.888652980772707
769,43.21894874400591,-2.905204051951971
770,43.13087372123727,-2.795532568146783
771,43.1331007923723,-2.785226352560086
785,43.13520040535956,-2.785783808973662
772,43.12977831381448,-2.776881155968822
773,43.13499720564197,-2.784898067379681
774,43.13188020859374,-2.788772358096164
775,43.13186028429684,-2.787214148537706
776,43.13008387453551,-2.782194202138361
777,43.13245557203998,-2.781166118636082
778,43.13698171628744,-2.782278929065627
779,43.13827770763917,-2.791475187739413
780,43.1300563082955,-2.782188263285291
781,43.13031641895022,-2.78246527160531
782,43.14001186522292,-2.781689221595749
783,43.1316671251122,-2.78009632100229
784,43.13503830995773,-2.78600588557235
786,43.12943596283571,-2.795591343774737
787,43.13159120917985,-2.783084788550151
788,43.13591323498868,-2.786161420005386
789,43.13584936749152,-2.800466154999264
790,43.13041445217305,-2.782757608357565
791,43.13038893183407,-2.790301642445557
792,43.13058282769435,-2.790426033568177
793,43.12930080124345,-2.784744923374157
794,43.12943192500774,-2.791096951399632
795,43.12817935887125,-2.778213604641369
796,inf,inf
797,inf,inf
798,inf,inf
1554,inf,inf
799,43.13379702593861,-2.780393997750153
800,43.13387164853511,-2.789991839306594
801,43.27062181995326,-3.23666912950184
802,43.2360140627837,-3.227106572950347
803,43.25211658915153,-3.221626524520702
804,inf,inf
805,inf,inf
806,43.26379266050638,-2.934981378253286
807,inf,inf
808,inf,inf
809,inf,inf
810,inf,inf
811,inf,inf
812,inf,inf
813,inf,inf
814,inf,inf
815,inf,inf
816,inf,inf
817,inf,inf
818,inf,inf
819,inf,inf
820,inf,inf
821,inf,inf
822,inf,inf
823,inf,inf
824,inf,inf
825,inf,inf
826,inf,inf
827,43.24737264105943,-3.239835993788681
828,43.24001350839463,-3.247348832576436
829,43.24038539820763,-3.256907362828246
830,43.22965859945243,-3.225214329387649
831,43.25185837562442,-3.237282844256659
832,inf,inf
833,inf,inf
834,43.23360271864252,-3.197898626315506
835,43.23812571663048,-3.18231893309313
836,43.23360271864252,-3.197898626315506
837,inf,inf
838,inf,inf
840,inf,inf
841,inf,inf
842,inf,inf
843,inf,inf
844,43.25898181342097,-3.226481382813554
845,inf,inf
846,inf,inf
847,inf,inf
848,inf,inf
849,43.25283880482139,-3.219616907460899
850,inf,inf
851,43.25006317369761,-3.240756476031535
852,43.23052667699661,-3.218162912942959
853,43.13014070317211,-2.584866963549187
854,43.11287605298405,-2.608198533525818
855,43.12132166561025,-2.593782867668144
856,43.12975026240072,-2.579415392640657
857,inf,inf
858,inf,inf
859,43.1130758958805,-2.600416763455712
860,43.12979653153344,-2.585133583909851
861,43.09926627326605,-2.581864441576391
862,43.13241529952148,-2.585073808124406
863,43.09969057038456,-2.580185586110165
864,43.12989666144065,-2.582559922310766
865,43.09898208490014,-2.581154710960511
866,43.10070797683093,-2.581546233666824
867,43.11139490700366,-2.592895945460781
868,43.134563475472,-2.589500912057292
869,43.10016786186986,-2.583590137074545
870,43.127872337578,-2.572793026654613
871,inf,inf
872,inf,inf
873,inf,inf
874,inf,inf
875,inf,inf
876,inf,inf
877,inf,inf
878,inf,inf
879,inf,inf
880,inf,inf
881,inf,inf
882,inf,inf
883,inf,inf
884,inf,inf
885,inf,inf
886,inf,inf
