municip_code,year,population
48097,2018,1615
48097,2017,1609
48024,2019,1250
48024,2018,1242
48024,2017,1241
48025,2019,1073
48025,2018,1059
48025,2017,1074
48913,2019,1490
48913,2018,1492
48913,2017,1497
48915,2019,413
48915,2018,427
48915,2017,420
